TotalHeight,ShoulderWidth,ChestWidth ,Belly ,Waist ,Hips ,ArmLength ,ShoulderToWaist ,WaistToKnee ,LegLength
180.34,35.56,22.86,63.5,106.68,66.04,43.18,43.18,45.72,66.04
152.4,50.8,43.18,93.98,106.68,71.12,58.42,50.8,43.18,93.98
60.96,48.26,40.64,93.98,91.44,20.32,58.42,58.42,50.8,96.52
149.86,48.26,43.18,81.28,96.52,60.96,60.96,63.5,48.26,91.44
172.72,50.8,45.72,91.44,96.52,93.98,58.42,50.8,58.42,99.06
53.34,15.24,40.64,33.02,33.02,35.56,22.86,22.86,22.86,33.02
50.8,12.7,43.18,30.48,33.02,38.1,22.86,22.86,17.78,33.02
55.88,15.24,38.1,33.02,30.48,35.56,22.86,25.4,20.32,33.02
58.42,12.7,45.72,35.56,35.56,43.18,25.4,22.86,20.32,35.56
60.96,20.32,50.8,50.8,55.88,50.8,20.32,30.48,20.32,38.1
48.26,220.98,38.1,33.02,30.48,35.56,22.86,22.86,15.24,33.02
50.8,17.78,40.64,33.02,30.48,38.1,25.4,25.4,20.32,30.48
68.58,27.94,55.88,50.8,53.34,55.88,17.78,35.56,33.02,60.96
60.96,25.4,50.8,50.8,53.34,55.88,20.32,35.56,33.02,58.42
63.5,27.94,53.34,50.8,58.42,60.96,25.4,25.4,33.02,55.88
114.3,38.1,50.8,48.26,45.72,50.8,48.26,55.88,30.48,40.64
109.22,35.56,48.26,43.18,40.64,45.72,45.72,50.8,30.48,66.04
114.3,38.1,48.26,43.18,40.64,45.72,45.72,53.34,30.48,93.98
132.08,33.02,66.04,58.42,66.04,68.58,25.4,48.26,48.26,78.74
139.7,38.1,66.04,53.34,50.8,55.88,33.02,48.26,45.72,81.28
127,40.64,68.58,60.96,58.42,60.96,43.18,48.26,50.8,83.82
149.86,40.64,68.58,71.12,63.5,71.12,53.34,55.88,114.3,124.46
152.4,35.56,71.12,60.96,63.5,68.58,55.88,58.42,66.04,101.6
157.48,48.26,68.58,58.42,60.96,68.58,53.34,58.42,66.04,101.6
172.72,48.26,78.74,71.12,71.12,71.12,76.2,66.04,76.2,116.84
170.18,43.18,71.12,53.34,66.04,71.12,68.58,66.04,73.66,101.6
175.26,45.72,71.12,58.42,63.5,68.58,53.34,68.58,73.66,109.22
172.72,71.12,48.26,71.12,55.88,66.04,71.12,68.58,66.04,101.6
175.26,45.72,71.12,58.42,63.5,66.04,63.5,71.12,71.12,104.14
182.88,45.72,71.12,58.42,60.96,66.04,71.12,68.58,68.58,106.68
187.96,50.8,93.98,71.12,66.04,68.58,71.12,71.12,68.58,106.68
215.9,50.8,96.52,68.58,71.12,68.58,68.58,66.04,63.5,101.6
218.44,50.8,78.74,76.2,81.28,96.52,76.2,71.12,68.58,104.14
226.06,50.8,81.28,71.12,81.28,81.28,71.12,73.66,73.66,106.68
48.26,15.24,38.1,33.02,30.48,35.56,22.86,22.86,15.24,33.02
50.8,12.7,40.64,33.02,33.02,38.1,22.86,22.86,15.24,33.02
96.52,22.86,55.88,53.34,53.34,50.8,17.78,35.56,33.02,55.88
111.76,27.94,58.42,55.88,60.96,60.96,20.32,43.18,38.1,66.04
78.74,22.86,53.34,50.8,55.88,50.8,15.24,33.02,22.86,40.64
50.8,22.86,55.88,53.34,55.88,50.8,17.78,33.02,22.86,40.64
60.96,20.32,50.8,50.8,55.88,50.8,20.32,30.48,20.32,38.1
63.5,17.78,40.64,33.02,30.48,35.56,25.4,25.4,22.86,33.02
48.26,25.4,50.8,53.34,58.42,53.34,27.94,25.4,22.86,43.18
68.58,27.94,55.88,50.8,53.34,55.88,17.78,35.56,33.02,58.42
109.22,35.56,45.72,43.18,40.64,45.72,45.72,50.8,30.48,66.04
129.54,38.1,48.26,45.72,48.26,38.1,50.8,50.8,33.02,71.12
142.24,40.64,48.26,50.8,50.8,55.88,50.8,53.34,35.56,73.66
154.94,38.1,50.8,55.88,53.34,50.8,53.34,55.88,40.64,76.2
154.94,40.64,55.88,50.8,58.42,55.88,55.88,55.88,43.18,76.2
180.34,33.02,66.04,58.42,68.58,66.04,50.8,40.64,48.26,78.74
182.88,40.64,71.12,60.96,60.96,63.5,58.42,71.12,53.34,96.52
180.34,38.1,43.18,63.5,60.96,66.04,55.88,66.04,50.8,93.98
185.42,40.64,68.58,63.5,60.96,71.12,60.96,66.04,50.8,96.52
198.12,43.18,71.12,60.96,60.96,63.5,58.42,63.5,53.34,99.06
200.66,45.72,73.66,71.12,68.58,71.12,63.5,68.58,60.96,101.6
200.66,45.72,73.66,71.12,71.12,73.66,66.04,76.2,63.5,101.6
203.2,48.26,71.12,71.12,68.58,71.12,73.66,73.66,68.58,104.14
208.28,48.26,71.12,71.12,68.58,71.12,73.66,73.66,68.58,104.14
208.28,48.26,71.12,66.04,71.12,71.12,73.66,71.12,71.12,101.6
220.98,48.26,73.66,68.58,68.58,71.12,68.58,66.04,71.12,104.14
215.9,43.18,96.52,68.58,71.12,68.58,68.58,66.04,63.5,101.6
218.44,45.72,81.28,71.12,78.74,78.74,71.12,68.58,66.04,104.14
226.06,50.8,78.74,76.2,81.28,66.04,73.66,71.12,73.66,106.68
50.8,15.24,38.1,33.02,30.48,35.56,22.86,22.86,15.24,33.02
53.34,12.7,40.64,33.02,33.02,38.1,22.86,22.86,17.78,33.02
55.88,12.7,43.18,30.48,33.02,38.1,25.4,22.86,20.32,33.02
58.42,12.7,43.18,33.02,35.56,40.64,25.4,22.86,20.32,35.56
60.96,12.7,45.72,35.56,35.56,43.18,25.4,22.86,20.32,38.1
109.22,35.56,48.26,43.18,40.64,45.72,45.72,50.8,30.48,66.04
111.76,38.1,50.8,45.72,40.64,45.72,45.72,53.34,30.48,68.58
114.3,38.1,50.8,48.26,45.72,50.8,48.26,55.88,30.48,66.04
129.54,30.48,63.5,55.88,66.04,60.96,17.78,38.1,10.16,81.28
132.08,30.48,63.5,58.42,68.58,66.04,20.32,40.64,35.56,81.28
132.08,33.02,66.04,58.42,66.04,68.58,25.4,48.26,48.26,78.74
134.62,35.56,66.04,53.34,58.42,73.66,27.94,45.72,45.72,81.28
137.16,38.1,66.04,53.34,50.8,55.88,33.02,48.26,48.26,81.28
139.7,40.64,68.58,60.96,58.42,60.96,43.18,48.26,50.8,83.82
142.24,40.64,71.12,68.58,66.04,71.12,48.26,50.8,53.34,86.36
144.78,43.18,71.12,66.04,63.5,68.58,50.8,53.34,55.88,91.44
149.86,40.64,68.58,71.12,63.5,71.12,53.34,55.88,60.96,71.12
149.86,45.72,71.12,71.12,63.5,68.58,53.34,55.88,63.5,99.06
157.48,45.72,68.58,55.88,63.5,68.58,53.34,58.42,66.04,101.6
160.02,45.72,71.12,58.42,63.5,68.58,53.34,58.42,66.04,101.6
165.1,45.72,76.2,63.5,66.04,73.66,71.12,66.04,71.12,104.14
142.24,45.72,76.2,66.04,66.04,73.66,73.66,66.04,71.12,104.14
172.72,66.04,78.74,71.12,71.12,73.66,76.2,66.04,73.66,106.68
170.18,48.26,81.28,71.12,68.58,73.66,78.74,66.04,76.2,106.68
175.26,50.8,78.74,66.04,66.04,73.66,76.2,68.58,76.2,106.68
172.72,45.72,71.12,58.42,63.5,68.58,53.34,66.04,73.66,101.6
175.26,43.18,71.12,53.34,66.04,71.12,68.58,66.04,73.66,101.6
172.72,45.72,71.12,55.88,63.5,66.04,63.5,68.58,71.12,53.34
182.88,50.8,68.58,71.12,66.04,71.12,68.58,71.12,71.12,106.68
78.74,22.86,20.32,48.26,45.72,50.8,22.86,25.4,20.32,35.56
88.9,22.86,22.86,50.8,48.26,53.34,50.8,27.94,22.86,40.64
81.28,20.32,27.94,48.26,30.48,27.94,40.64,25.4,22.86,45.72
88.9,20.32,25.4,17.78,40.64,25.4,50.8,30.48,25.4,50.8
96.52,25.4,25.4,50.8,50.8,50.8,33.02,33.02,27.94,55.88
96.52,25.4,25.4,50.8,50.8,50.8,33.02,33.02,25.4,27.94
99.06,27.94,27.94,55.88,55.88,55.88,40.64,30.48,30.48,55.88
93.98,27.94,25.4,50.8,50.8,53.34,45.72,25.4,30.48,48.26
99.06,27.94,27.94,55.88,55.88,55.88,40.64,30.48,30.48,55.88
106.68,25.4,22.86,55.88,58.42,60.96,35.56,38.1,27.94,55.88
93.98,22.86,22.86,50.8,50.8,50.8,35.56,27.94,22.86,43.18
96.52,25.4,15.24,48.26,50.8,48.26,30.48,48.26,22.86,43.18
99.06,22.86,25.4,55.88,53.34,50.8,30.48,45.72,30.48,45.72
106.68,45.72,22.86,48.26,30.48,22.86,35.56,27.94,33.02,53.34
127,33.02,27.94,50.8,55.88,27.94,45.72,35.56,22.86,81.28
127,27.94,22.86,50.8,55.88,25.4,43.18,48.26,48.26,81.28
149.86,43.18,38.1,93.98,96.52,106.68,48.26,55.88,45.72,88.9
167.64,48.26,43.18,111.76,106.68,116.84,71.12,48.26,66.04,93.98
162.56,35.56,40.64,86.36,50.8,96.52,60.96,48.26,48.26,88.9
149.86,45.72,48.26,86.36,93.98,99.06,55.88,43.18,38.1,83.82
167.64,53.34,48.26,106.68,96.52,111.76,71.12,55.88,45.72,93.98
172.72,43.18,35.56,83.82,83.82,93.98,63.5,60.96,58.42,104.14
152.4,48.26,43.18,116.84,121.92,160.02,50.8,60.96,38.1,86.36
152.4,40.64,43.18,104.14,35.56,114.3,48.26,40.64,43.18,83.82
157.48,45.72,40.64,114.3,119.38,157.48,48.26,53.34,43.18,83.82
177.8,45.72,35.56,114.3,114.3,116.84,63.5,68.58,55.88,99.06
165.1,48.26,38.1,93.98,91.44,99.06,60.96,55.88,50.8,91.44
172.72,45.72,40.64,91.44,99.06,104.14,60.96,78.74,63.5,99.06
170.18,53.34,50.8,119.38,114.3,111.76,58.42,76.2,58.42,96.52
172.72,45.72,40.64,91.44,99.06,104.14,60.96,78.74,63.5,99.06
162.56,53.34,45.72,114.3,109.22,114.3,55.88,81.28,58.42,91.44
162.56,43.18,40.64,101.6,99.06,101.6,63.5,76.2,60.96,93.98
175.26,48.26,43.18,106.68,111.76,111.76,60.96,66.04,68.58,101.6
177.8,45.72,35.56,114.3,114.3,116.84,63.5,68.58,55.88,99.06
162.56,45.72,43.18,91.44,93.98,93.98,58.42,58.42,48.26,91.44
170.18,48.26,43.18,109.22,111.76,114.3,60.96,78.74,60.96,91.44
172.72,43.18,38.1,83.82,83.82,93.98,63.5,60.96,58.42,104.14
165.1,48.26,38.1,93.98,91.44,99.06,60.96,55.88,50.8,91.44
170.18,43.18,40.64,88.9,91.44,93.98,63.5,55.88,58.42,91.44
172.72,45.72,48.26,81.28,88.9,99.06,55.88,68.58,60.96,96.52
167.64,53.34,43.18,106.68,96.52,111.76,71.12,55.88,45.72,93.98
162.56,48.26,40.64,111.76,106.68,116.84,71.12,48.26,50.8,96.52
152.4,38.1,38.1,88.9,96.52,101.6,55.88,45.72,48.26,86.36
154.94,45.72,50.8,78.74,81.28,81.28,53.34,45.72,48.26,88.9
149.86,48.26,58.42,81.28,93.98,101.6,58.42,48.26,55.88,93.98
165.1,40.64,43.18,101.6,104.14,114.3,53.34,55.88,53.34,93.98
152.4,40.64,22.86,104.14,104.14,114.3,48.26,40.64,43.18,83.82
88.9,22.86,40.64,50.8,45.72,53.34,48.26,27.94,22.86,40.64
162.56,45.72,43.18,93.98,50.8,96.52,60.96,43.18,48.26,88.9
152.4,48.26,38.1,116.84,121.92,160.02,50.8,55.88,38.1,86.36
149.86,43.18,25.4,93.98,96.52,106.68,48.26,53.34,45.72,88.9
124.46,27.94,22.86,58.42,60.96,66.04,40.64,43.18,30.48,66.04
106.68,25.4,20.32,55.88,58.42,60.96,35.56,38.1,27.94,55.88
78.74,22.86,40.64,48.26,45.72,50.8,22.86,25.4,17.78,33.02
157.48,45.72,40.64,114.3,119.38,157.48,48.26,53.34,43.18,83.82
152.4,45.72,48.26,109.22,114.3,149.86,48.26,50.8,40.64,83.82
149.86,45.72,48.26,86.36,93.98,99.06,55.88,43.18,38.1,83.82
132.08,35.56,30.48,60.96,63.5,30.48,48.26,35.56,35.56,76.2
114.3,27.94,22.86,33.02,55.88,22.86,38.1,33.02,33.02,50.8
119.38,30.48,25.4,55.88,55.88,27.94,40.64,35.56,30.48,66.04
93.98,22.86,22.86,50.8,50.8,25.4,35.56,27.94,22.86,43.18
104.14,30.48,22.86,27.94,58.42,22.86,35.56,43.18,58.42,50.8
127,27.94,22.86,25.4,55.88,25.4,43.18,48.26,73.66,55.88
111.76,30.48,22.86,25.4,55.88,30.48,38.1,45.72,60.96,63.5
116.84,27.94,20.32,27.94,55.88,27.94,33.02,27.94,22.86,53.34
114.3,30.48,22.86,25.4,58.42,25.4,30.48,43.18,30.48,55.88
114.3,33.02,27.94,25.4,53.34,25.4,33.02,43.18,30.48,55.88
127,27.94,25.4,58.42,60.96,27.94,45.72,33.02,33.02,71.12
93.98,22.86,22.86,50.8,50.8,25.4,35.56,27.94,22.86,43.18
91.44,25.4,22.86,50.8,50.8,25.4,35.56,27.94,22.86,43.18
93.98,25.4,15.24,50.8,53.34,25.4,33.02,30.48,22.86,45.72
96.52,22.86,25.4,48.26,50.8,22.86,30.48,48.26,22.86,43.18
99.06,22.86,25.4,55.88,53.34,25.4,30.48,45.72,30.48,45.72
93.98,10.16,22.86,50.8,50.8,27.94,33.02,30.48,22.86,48.26
91.44,12.7,25.4,50.8,50.8,25.4,35.56,27.94,22.86,43.18
93.98,35.56,30.48,53.34,55.88,27.94,33.02,30.48,22.86,40.64
127,33.02,33.02,60.96,63.5,30.48,48.26,35.56,35.56,76.2
129.54,22.86,22.86,50.8,55.88,30.48,50.8,33.02,22.86,78.74
93.98,22.86,22.86,50.8,50.8,25.4,35.56,27.94,22.86,43.18
93.98,27.94,33.02,53.34,50.8,22.86,33.02,30.48,22.86,45.72
127,35.56,30.48,60.96,60.96,33.02,45.72,35.56,35.56,88.9
129.54,35.56,27.94,58.42,53.34,27.94,48.26,33.02,35.56,78.74
127,33.02,30.48,50.8,55.88,27.94,45.72,35.56,22.86,81.28
139.7,33.02,27.94,53.34,50.8,25.4,48.26,33.02,22.86,88.9
91.44,35.56,27.94,50.8,55.88,25.4,48.26,45.72,22.86,76.2
109.22,48.26,27.94,53.34,33.02,25.4,38.1,30.48,35.56,55.88
109.22,48.26,25.4,27.94,30.48,30.48,43.18,48.26,38.1,63.5
119.38,50.8,33.02,55.88,30.48,27.94,48.26,55.88,45.72,73.66
116.84,48.26,33.02,53.34,30.48,27.94,48.26,53.34,45.72,73.66
121.92,50.8,38.1,55.88,33.02,33.02,53.34,58.42,48.26,76.2
124.46,48.26,35.56,53.34,30.48,27.94,50.8,53.34,45.72,78.74
116.84,48.26,33.02,50.8,27.94,25.4,48.26,50.8,43.18,43.18
109.22,48.26,27.94,53.34,33.02,27.94,40.64,30.48,35.56,55.88
109.22,45.72,30.48,55.88,30.48,30.48,38.1,30.48,35.56,53.34
106.68,45.72,22.86,48.26,30.48,22.86,35.56,27.94,33.02,53.34
109.22,48.26,25.4,50.8,33.02,25.4,38.1,30.48,35.56,55.88
99.06,22.86,25.4,45.72,53.34,55.88,35.56,27.94,58.42,60.96
71.12,35.56,27.94,60.96,63.5,68.58,50.8,45.72,40.64,71.12
109.22,33.02,27.94,53.34,55.88,60.96,43.18,38.1,48.26,53.34
104.14,33.02,25.4,50.8,63.5,60.96,40.64,58.42,45.72,53.34
111.76,33.02,25.4,55.88,58.42,60.96,45.72,48.26,43.18,63.5
111.76,33.02,22.86,73.66,58.42,63.5,45.72,40.64,43.18,60.96
119.38,33.02,27.94,60.96,60.96,63.5,45.72,38.1,43.18,66.04
116.84,33.02,27.94,58.42,66.04,63.5,45.72,40.64,43.18,66.04
111.76,27.94,22.86,50.8,30.48,60.96,43.18,38.1,40.64,58.42
121.92,35.56,25.4,66.04,66.04,71.12,45.72,40.64,40.64,71.12
111.76,30.48,22.86,50.8,58.42,58.42,45.72,33.02,43.18,58.42
119.38,33.02,25.4,63.5,68.58,66.04,50.8,40.64,38.1,66.04
121.92,27.94,25.4,55.88,58.42,66.04,43.18,38.1,38.1,68.58
137.16,35.56,35.56,60.96,68.58,71.12,58.42,55.88,48.26,83.82
132.08,33.02,27.94,55.88,58.42,58.42,68.58,58.42,40.64,43.18
137.16,35.56,35.56,60.96,68.58,71.12,58.42,55.88,48.26,81.28
129.54,33.02,30.48,58.42,63.5,66.04,43.18,43.18,48.26,73.66
96.52,25.4,25.4,50.8,50.8,50.8,33.02,33.02,25.4,55.88
114.3,35.56,30.48,55.88,60.96,63.5,45.72,43.18,71.12,71.12
111.76,38.1,30.48,60.96,66.04,71.12,45.72,43.18,38.1,71.12
96.52,25.4,25.4,50.8,50.8,50.8,33.02,33.02,25.4,55.88
132.08,33.02,27.94,55.88,58.42,58.42,68.58,55.88,40.64,43.18
121.92,35.56,30.48,60.96,66.04,27.94,43.18,40.64,40.64,66.04
137.16,35.56,35.56,68.58,71.12,58.42,55.88,48.26,58.42,33.02
99.06,22.86,25.4,45.72,53.34,55.88,35.56,27.94,58.42,60.96
119.38,33.02,25.4,63.5,68.58,66.04,50.8,40.64,38.1,66.04
116.84,35.56,27.94,53.34,58.42,27.94,43.18,48.26,38.1,63.5
111.76,33.02,25.4,50.8,63.5,60.96,40.64,58.42,45.72,53.34
109.22,30.48,33.02,60.96,63.5,68.58,60.96,40.64,45.72,78.74
114.3,25.4,33.02,55.88,25.4,30.48,58.42,38.1,33.02,66.04
104.14,22.86,27.94,50.8,27.94,33.02,45.72,30.48,30.48,55.88
109.22,25.4,30.48,55.88,22.86,30.48,48.26,33.02,30.48,58.42
109.22,25.4,27.94,50.8,25.4,35.56,50.8,27.94,33.02,63.5
109.22,25.4,33.02,53.34,27.94,27.94,40.64,33.02,33.02,58.42
114.3,25.4,30.48,48.26,22.86,27.94,48.26,33.02,33.02,63.5
106.68,25.4,33.02,48.26,25.4,35.56,48.26,27.94,30.48,63.5
129.54,30.48,43.18,58.42,27.94,35.56,58.42,35.56,38.1,73.66
116.84,25.4,30.48,53.34,30.48,33.02,53.34,33.02,35.56,66.04
121.92,27.94,30.48,50.8,25.4,35.56,53.34,27.94,35.56,71.12
124.46,30.48,30.48,53.34,30.48,33.02,60.96,33.02,38.1,71.12
111.76,25.4,33.02,53.34,30.48,33.02,50.8,30.48,33.02,60.96
111.76,27.94,33.02,55.88,30.48,27.94,53.34,30.48,30.48,60.96
109.22,25.4,30.48,48.26,25.4,27.94,45.72,33.02,30.48,60.96
99.06,22.86,30.48,48.26,25.4,30.48,45.72,30.48,48.26,50.8
99.06,22.86,27.94,50.8,27.94,25.4,43.18,30.48,27.94,55.88
88.9,20.32,25.4,43.18,15.24,22.86,30.48,22.86,25.4,50.8
111.76,22.86,27.94,53.34,27.94,35.56,50.8,30.48,33.02,60.96
106.68,30.48,43.18,58.42,27.94,43.18,58.42,35.56,38.1,73.66
114.3,20.32,27.94,50.8,27.94,38.1,30.48,2.54,55.88,60.96
121.92,27.94,38.1,53.34,30.48,33.02,55.88,33.02,38.1,71.12
